t_county,CA_avg_temp_K,CA_air_density
Alameda County,289.38111111111107,1.2229983773808284
Alpine County,280.16499999999996,1.2632578774052727
Amador County,289.29999999999995,1.2233399057716627
Butte County,290.2099999999999,1.2195481833659927
Colusa County,289.78,1.221298023564254
Contra Costa County,289.87499999999994,1.2209135821888126
Del Norte County,284.63,1.243395189142604
El Dorado County,283.8536363636364,1.2470474836960095
Fresno County,288.46272727272725,1.227056019654061
Glenn County,290.43199999999996,1.218595809378129
Humboldt County,286.4,1.2357367902246579
Imperial County,298.34499999999997,1.186236713413682
Inyo County,291.9142857142857,1.2127436824504387
Kern County,290.89199999999994,1.2166644053708615
Kings County,291.84749999999997,1.2126545547510879
Lake County,289.33799999999997,1.22319629987513
Lassen County,282.3399999999999,1.253505099271455
Los Angeles County,291.0268,1.2161123146087818
Madera County,290.38,1.2187772265796193
Marin County,289.0875,1.224224517412305
Mariposa County,288.50833333333327,1.2268119614722863
Mendocino County,287.98222222222216,1.2289552004040272
Merced County,290.80571428571426,1.2170013904266495
Modoc County,282.0092307692307,1.2549920741812066
Mono County,281.63999999999993,1.2567081710577868
Monterey County,289.16499999999996,1.2239015266928182
Napa County,288.78,1.2255352736553233
Nevada County,284.82124999999996,1.24282367263093
Orange County,292.62,1.2094545081326884
Placer County,283.82555555555547,1.2471118917290558
Plumas County,284.00333333333333,1.2461682847518427
Riverside County,293.0023809523809,1.2080102628641536
Sacramento County,291.01,1.2161394571238795
San Benito County,289.0625,1.2243513449891286
San Bernardino County,291.12840000000006,1.2158035708540107
San Diego County,290.3552,1.2190056836183314
San Francisco County,288.03,1.2287177470598873
San Joaquin County,291.38,1.2145911616640106
San Luis Obispo County,289.47666666666663,1.2225878786942603
San Mateo County,288.15,1.2282287300384087
Santa Barbara County,289.64538461538456,1.2218838353789439
Santa Clara County,289.05833333333334,1.2243625724351908
Santa Cruz County,288.78249999999997,1.2255248796145954
Shasta County,288.4049999999999,1.227236154547654
Sierra County,282.5028571428572,1.2528075890765769
Siskiyou County,284.68619047619046,1.24318916876275
Solano County,290.926,1.2164880620734757
Sonoma County,289.1116666666666,1.2241232358227705
Stanislaus County,291.4766666666667,1.2141905525463532
Tehama County,290.49999999999994,1.218321123368683
Trinity County,286.74625,1.2342340464471357
Tulare County,286.7615384615384,1.2343730630624146
Tuolumne County,286.98999999999995,1.2334545975776656
Ventura County,289.605,1.2221434088486844
Yolo County,291.23199999999997,1.215210367439728
Yuba County,289.60499999999996,1.22205227499746
