t_county,wind_speed
Alameda County,3.0
Butte County,2.6
Contra Costa County,3.1
Del Norte County,3.5
El Dorado County,2.3
Fresno County,2.5
Humboldt County,2.15
Inyo County,3.7
Kings County,2.6
Los Angeles County,2.6999999999999997
Madera County,2.4
Mendocino County,1.5
Merced County,2.5
Modoc County,2.3
Mono County,1.3
Monterey County,2.8499999999999996
Napa County,3.3
Orange County,1.8
Placer County,2.8
Riverside County,2.8666666666666667
Sacramento County,2.85
San Bernardino County,3.35
San Diego County,2.1999999999999997
San Joaquin County,3.1
San Luis Obispo County,2.75
San Mateo County,4.5
Santa Barbara County,2.55
Santa Clara County,2.7
Santa Cruz County,1.8
Shasta County,2.4
Siskiyou County,1.85
Solano County,2.7
Sonoma County,2.1
Stanislaus County,2.9
Tehama County,3.4
Ventura County,2.7
Yuba County,2.8
