,t_county,wind_speed,CA_avg_temp_K,CA_air_density,case_id,faa_ors,faa_asn,usgs_pr_id,eia_id,t_state,t_fips,p_name,p_year,p_tnum,p_cap,t_manu_x,t_model,t_cap,t_hh,t_rd,t_rsa,t_ttlh,retrofit,retrofit_year,t_conf_atr,t_conf_loc,t_img_date,t_img_srce,xlong,ylat,t_manu_y,tower_material,corrosion_protection,rotor_material,rotor_max_speed,rotor_tip_speed,rated_wind_speed
0,Alameda County,3.0,289.38111111111107,1.2229983773808284,3020552.0,06-002985,2006-AWP-2516-OE,11957.0,56271.0,CA,6001.0,Diablo Winds,2004.0,31.0,20.46,Vestas,V47-0.66,660.0,60.0,47.0,1734.94,83.5,0.0,,3.0,3.0,1/1/2012,NAIP,-121.617989,37.753994,Vestas,,,,,,
1,Alameda County,3.0,289.38111111111107,1.2229983773808284,3020551.0,06-002986,2006-AWP-2515-OE,11958.0,56271.0,CA,6001.0,Diablo Winds,2004.0,31.0,20.46,Vestas,V47-0.66,660.0,60.0,47.0,1734.94,83.5,0.0,,3.0,3.0,1/1/2012,NAIP,-121.619186,37.754494,Vestas,,,,,,
2,Alameda County,3.0,289.38111111111107,1.2229983773808284,3020545.0,06-002991,2006-AWP-2509-OE,11949.0,56271.0,CA,6001.0,Diablo Winds,2004.0,31.0,20.46,Vestas,V47-0.66,660.0,60.0,47.0,1734.94,83.5,0.0,,3.0,3.0,1/1/2012,NAIP,-121.619591,37.744495,Vestas,,,,,,
3,Alameda County,3.0,289.38111111111107,1.2229983773808284,3020548.0,06-003097,2006-AWP-2512-OE,11954.0,56271.0,CA,6001.0,Diablo Winds,2004.0,31.0,20.46,Vestas,V47-0.66,660.0,60.0,47.0,1734.94,83.5,0.0,,3.0,3.0,1/1/2012,NAIP,-121.61869,37.748795,Vestas,,,,,,
4,Alameda County,3.0,289.38111111111107,1.2229983773808284,3020554.0,06-002984,2006-AWP-2518-OE,11962.0,56271.0,CA,6001.0,Diablo Winds,2004.0,31.0,20.46,Vestas,V47-0.66,660.0,60.0,47.0,1734.94,83.5,0.0,,3.0,3.0,1/1/2012,NAIP,-121.620087,37.765293,Vestas,,,,,,
5,Alameda County,3.0,289.38111111111107,1.2229983773808284,3020541.0,06-003096,2006-AWP-2505-OE,11953.0,56271.0,CA,6001.0,Diablo Winds,2004.0,31.0,20.46,Vestas,V47-0.66,660.0,60.0,47.0,1734.94,83.5,0.0,,3.0,3.0,1/1/2012,NAIP,-121.625587,37.747597,Vestas,,,,,,
6,Alameda County,3.0,289.38111111111107,1.2229983773808284,3020542.0,06-002993,2006-AWP-2506-OE,8436.0,56271.0,CA,6001.0,Diablo Winds,2004.0,31.0,20.46,Vestas,V47-0.66,660.0,60.0,47.0,1734.94,83.5,0.0,,3.0,3.0,1/1/2012,NAIP,-121.625488,37.746796,Vestas,,,,,,
7,Alameda County,3.0,289.38111111111107,1.2229983773808284,3020547.0,06-002989,2006-AWP-2511-OE,11955.0,56271.0,CA,6001.0,Diablo Winds,2004.0,31.0,20.46,Vestas,V47-0.66,660.0,60.0,47.0,1734.94,83.5,0.0,,3.0,3.0,1/1/2012,NAIP,-121.619789,37.749496,Vestas,,,,,,
8,Alameda County,3.0,289.38111111111107,1.2229983773808284,3020566.0,06-003091,2006-AWP-2531-OE,11971.0,56271.0,CA,6001.0,Diablo Winds,2004.0,31.0,20.46,Vestas,V47-0.66,660.0,60.0,47.0,1734.94,83.5,0.0,,3.0,3.0,11/22/2019,Digital Globe,-121.651001,37.773636,Vestas,,,,,,
9,Alameda County,3.0,289.38111111111107,1.2229983773808284,3020567.0,06-003090,2006-AWP-2532-OE,11970.0,56271.0,CA,6001.0,Diablo Winds,2004.0,31.0,20.46,Vestas,V47-0.66,660.0,60.0,47.0,1734.94,83.5,0.0,,3.0,3.0,11/22/2019,Digital Globe,-121.650391,37.772797,Vestas,,,,,,
