,t_county,wind_speed,CA_avg_temp_K,CA_air_density,case_id,faa_ors,faa_asn,usgs_pr_id,eia_id,t_state,t_fips,p_name,p_year,p_tnum,p_cap,t_manu_x,t_model,t_cap,t_hh,t_rd,t_rsa,t_ttlh,retrofit,retrofit_year,t_conf_atr,t_conf_loc,t_img_date,t_img_srce,xlong,ylat,t_manu_y,tower_material,corrosion_protection,rotor_material,rotor_max_speed,rotor_tip_speed,rated_wind_speed,power_calc,power_calc_kW,percent_power_cap
0,Alameda County,3,289.3811111,1.222998377,3020552,06-002985,2006-AWP-2516-OE,11957,56271,CA,6001,Diablo Winds,2004,31,20.46,Vestas,V47-0.66,660,60,47,1734.94,83.5,0,,3,3,1/1/12,NAIP,-121.617989,37.753994,Vestas,,,,,,,28644.68887,28.64468887,4.340104374
1,Alameda County,3,289.3811111,1.222998377,3020551,06-002986,2006-AWP-2515-OE,11958,56271,CA,6001,Diablo Winds,2004,31,20.46,Vestas,V47-0.66,660,60,47,1734.94,83.5,0,,3,3,1/1/12,NAIP,-121.619186,37.754494,Vestas,,,,,,,28644.68887,28.64468887,4.340104374
2,Alameda County,3,289.3811111,1.222998377,3020545,06-002991,2006-AWP-2509-OE,11949,56271,CA,6001,Diablo Winds,2004,31,20.46,Vestas,V47-0.66,660,60,47,1734.94,83.5,0,,3,3,1/1/12,NAIP,-121.619591,37.744495,Vestas,,,,,,,28644.68887,28.64468887,4.340104374
3,Alameda County,3,289.3811111,1.222998377,3020548,06-003097,2006-AWP-2512-OE,11954,56271,CA,6001,Diablo Winds,2004,31,20.46,Vestas,V47-0.66,660,60,47,1734.94,83.5,0,,3,3,1/1/12,NAIP,-121.61869,37.748795,Vestas,,,,,,,28644.68887,28.64468887,4.340104374
4,Alameda County,3,289.3811111,1.222998377,3020554,06-002984,2006-AWP-2518-OE,11962,56271,CA,6001,Diablo Winds,2004,31,20.46,Vestas,V47-0.66,660,60,47,1734.94,83.5,0,,3,3,1/1/12,NAIP,-121.620087,37.765293,Vestas,,,,,,,28644.68887,28.64468887,4.340104374
5,Alameda County,3,289.3811111,1.222998377,3020541,06-003096,2006-AWP-2505-OE,11953,56271,CA,6001,Diablo Winds,2004,31,20.46,Vestas,V47-0.66,660,60,47,1734.94,83.5,0,,3,3,1/1/12,NAIP,-121.625587,37.747597,Vestas,,,,,,,28644.68887,28.64468887,4.340104374
6,Alameda County,3,289.3811111,1.222998377,3020542,06-002993,2006-AWP-2506-OE,8436,56271,CA,6001,Diablo Winds,2004,31,20.46,Vestas,V47-0.66,660,60,47,1734.94,83.5,0,,3,3,1/1/12,NAIP,-121.625488,37.746796,Vestas,,,,,,,28644.68887,28.64468887,4.340104374
7,Alameda County,3,289.3811111,1.222998377,3020547,06-002989,2006-AWP-2511-OE,11955,56271,CA,6001,Diablo Winds,2004,31,20.46,Vestas,V47-0.66,660,60,47,1734.94,83.5,0,,3,3,1/1/12,NAIP,-121.619789,37.749496,Vestas,,,,,,,28644.68887,28.64468887,4.340104374
8,Alameda County,3,289.3811111,1.222998377,3020566,06-003091,2006-AWP-2531-OE,11971,56271,CA,6001,Diablo Winds,2004,31,20.46,Vestas,V47-0.66,660,60,47,1734.94,83.5,0,,3,3,11/22/19,Digital Globe,-121.651001,37.773636,Vestas,,,,,,,28644.68887,28.64468887,4.340104374
9,Alameda County,3,289.3811111,1.222998377,3020567,06-003090,2006-AWP-2532-OE,11970,56271,CA,6001,Diablo Winds,2004,31,20.46,Vestas,V47-0.66,660,60,47,1734.94,83.5,0,,3,3,11/22/19,Digital Globe,-121.650391,37.772797,Vestas,,,,,,,28644.68887,28.64468887,4.340104374
10,Alameda County,3,289.3811111,1.222998377,3020570,06-003095,2006-AWP-2535-OE,11967,56271,CA,6001,Diablo Winds,2004,31,20.46,Vestas,V47-0.66,660,60,47,1734.94,83.5,0,,3,3,1/1/12,NAIP,-121.64769,37.771397,Vestas,,,,,,,28644.68887,28.64468887,4.340104374
11,Alameda County,3,289.3811111,1.222998377,3020544,06-002904,2006-AWP-2508-OE,11950,56271,CA,6001,Diablo Winds,2004,31,20.46,Vestas,V47-0.66,660,60,47,1734.94,83.5,0,,3,3,1/1/12,NAIP,-121.620483,37.745193,Vestas,,,,,,,28644.68887,28.64468887,4.340104374
12,Alameda County,3,289.3811111,1.222998377,3020557,06-002980,2006-AWP-2522-OE,11965,56271,CA,6001,Diablo Winds,2004,31,20.46,Vestas,V47-0.66,660,60,47,1734.94,83.5,0,,3,3,1/1/12,NAIP,-121.634087,37.769196,Vestas,,,,,,,28644.68887,28.64468887,4.340104374
13,Alameda County,3,289.3811111,1.222998377,3020556,06-002981,2006-AWP-2521-OE,11966,56271,CA,6001,Diablo Winds,2004,31,20.46,Vestas,V47-0.66,660,60,47,1734.94,83.5,0,,3,3,1/1/12,NAIP,-121.633789,37.770096,Vestas,,,,,,,28644.68887,28.64468887,4.340104374
14,Alameda County,3,289.3811111,1.222998377,3020568,06-003088,2006-AWP-2533-OE,11969,56271,CA,6001,Diablo Winds,2004,31,20.46,Vestas,V47-0.66,660,60,47,1734.94,83.5,0,,3,3,11/22/19,Digital Globe,-121.649788,37.772095,Vestas,,,,,,,28644.68887,28.64468887,4.340104374
15,Alameda County,3,289.3811111,1.222998377,3020565,06-003092,2006-AWP-2530-OE,11973,56271,CA,6001,Diablo Winds,2004,31,20.46,Vestas,V47-0.66,660,60,47,1734.94,83.5,0,,3,3,11/22/19,Digital Globe,-121.653488,37.774796,Vestas,,,,,,,28644.68887,28.64468887,4.340104374
16,Alameda County,3,289.3811111,1.222998377,3020564,06-002978,2006-AWP-2529-OE,11972,56271,CA,6001,Diablo Winds,2004,31,20.46,Vestas,V47-0.66,660,60,47,1734.94,83.5,0,,3,3,11/22/19,Digital Globe,-121.658188,37.774593,Vestas,,,,,,,28644.68887,28.64468887,4.340104374
17,Alameda County,3,289.3811111,1.222998377,3020549,06-002988,2006-AWP-2513-OE,11960,56271,CA,6001,Diablo Winds,2004,31,20.46,Vestas,V47-0.66,660,60,47,1734.94,83.5,0,,3,3,1/1/12,NAIP,-121.622589,37.758694,Vestas,,,,,,,28644.68887,28.64468887,4.340104374
18,Alameda County,3,289.3811111,1.222998377,3007426,,,8074,56271,CA,6001,Diablo Winds,2004,31,20.46,Vestas,V47-0.66,660,60,47,1734.94,83.5,0,,3,3,1/1/12,NAIP,-121.614883,37.763393,Vestas,,,,,,,28644.68887,28.64468887,4.340104374
19,Alameda County,3,289.3811111,1.222998377,3020562,06-003093,2006-AWP-2527-OE,11974,56271,CA,6001,Diablo Winds,2004,31,20.46,Vestas,V47-0.66,660,60,47,1734.94,83.5,0,,3,3,1/1/12,NAIP,-121.633484,37.776394,Vestas,,,,,,,28644.68887,28.64468887,4.340104374
