,t_county,wind_speed,avg_temp_K,air_density,case_id,faa_ors,faa_asn,usgs_pr_id,eia_id,t_state,t_fips,p_name,p_year,p_tnum,p_cap,t_manu_x,t_model,t_cap,t_hh,t_rd,t_rsa,t_ttlh,retrofit,retrofit_year,t_conf_atr,t_conf_loc,t_img_date,t_img_srce,xlong,ylat,t_manu_y,tower_material,corrosion_protection,rotor_material,rotor_max_speed,rotor_tip_speed,rated_wind_speed
0,Angelina County,2.6,293.32,1.2186199504552628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bexar County,3.5,294.895,1.2121128635143918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Brazoria County,3.1666666666666665,295.4799999999999,1.2097142152549358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Brazos County,3.7,294.72999999999996,1.2127897860931007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Burnet County,3.1,293.34999999999997,1.218495364132397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051892.0,48-034769,2014-WTW-7367-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,1/22/2017,Digital Globe,-97.5355,26.147814,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
7,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051904.0,48-034494,2014-WTW-7381-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,1/22/2017,Digital Globe,-97.478096,26.175076,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
8,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051907.0,48-034811,2014-WTW-7384-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,1/22/2017,Digital Globe,-97.524826,26.188185,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
9,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051916.0,48-034740,2014-WTW-7393-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,1/22/2017,Digital Globe,-97.456146,26.185566,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
10,Cameron County,4.7,297.78999999999996,1.2003290463680578,3051909.0,48-034782,2014-WTW-7386-OE,,59118.0,TX,48061.0,Cameron,2015.0,55.0,165.0,Acciona,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,0.0,,3.0,3.0,1/22/2017,Digital Globe,-97.518326,26.190876,Nordex,SteelConcrete,Painted,GFRP,11.6,80.0,
