,t_county,wind_speed,avg_temp_K,air_density,case_id,faa_ors,faa_asn,usgs_pr_id,eia_id,t_state,t_fips,p_name,p_year,p_tnum,p_cap,t_manu_x,t_model,t_cap,t_hh,t_rd,t_rsa,t_ttlh,retrofit,retrofit_year,t_conf_atr,t_conf_loc,t_img_date,t_img_srce,xlong,ylat,t_manu_y,tower_material,corrosion_protection,rotor_material,rotor_max_speed,rotor_tip_speed,rated_wind_speed,power_calc,power_calc_kW,percent_power_cap
0,Angelina County,2.6,293.32,1.21861995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!
2,Bexar County,3.5,294.895,1.212112864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!
3,Brazoria County,3.166666667,295.48,1.209714215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!
4,Brazos County,3.7,294.73,1.212789786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!
5,Burnet County,3.1,293.35,1.218495364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,#DIV/0!
6,Cameron County,4.7,297.79,1.200329046,3051892,48-034769,2014-WTW-7367-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.5355,26.147814,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
7,Cameron County,4.7,297.79,1.200329046,3051904,48-034494,2014-WTW-7381-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.478096,26.175076,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
8,Cameron County,4.7,297.79,1.200329046,3051907,48-034811,2014-WTW-7384-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.524826,26.188185,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
9,Cameron County,4.7,297.79,1.200329046,3051916,48-034740,2014-WTW-7393-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.456146,26.185566,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
10,Cameron County,4.7,297.79,1.200329046,3051909,48-034782,2014-WTW-7386-OE,,59118,TX,48061,Cameron,2015,55,165,Acciona,AW125/3000,3000,87.5,125,12271.85,150,0,,3,3,1/22/17,Digital Globe,-97.518326,26.190876,Nordex,SteelConcrete,Painted,GFRP,11.6,80,,764669.7886,764.6697886,25.48899295
