t_county,wind_speed
Angelina County,2.6
Aransas County,4.5
Bexar County,3.5
Brazoria County,3.1666666666666665
Brazos County,3.7
Burnet County,3.1
Cameron County,4.7
Childress County,4.6
Collin County,3.9
Culberson County,8.7
Dallas County,4.166666666666667
Denton County,3.9
Ector County,4.9
El Paso County,3.6
Fort Bend County,3.6
Galveston County,5.1
Gregg County,3.1
Guadalupe County,4.0
Harris County,3.366666666666667
Hartley County,5.5
Hidalgo County,4.5
Houston County,1.8
Hutchinson County,3.55
Jefferson County,3.8
Jim Wells County,4.1
Kaufman County,3.5
Kimble County,3.0
Kleberg County,4.3
La Salle County,3.8
Lubbock County,5.3
Matagorda County,4.7
McLennan County,4.1
Medina County,3.9
Midland County,5.0
Montgomery County,2.6
Navarro County,3.9
Nueces County,5.4
Palo Pinto County,4.0
Parker County,4.0
Pecos County,4.8
Potter County,6.0
Smith County,3.6
Tarrant County,4.449999999999999
Taylor County,4.8
Terrell County,4.1
Tom Green County,4.1
Travis County,2.8
Val Verde County,4.0
Victoria County,4.2
Walker County,2.3
Wichita County,4.9
Winkler County,4.4
